91.187.93.166,443,AD,Andorra Telecom
109.61.18.28,2087,AE,
109.61.42.105,443,AE,GCore Labs Customer assignment
109.61.42.20,443,AE,GCore Labs Customer assignment
129.151.128.105,16731,AE,Oracle Corporation
129.151.128.114,34834,AE,Oracle Corporation
139.185.34.131,443,AE,Oracle Corporation
139.185.39.237,48008,AE,Oracle Corporation
139.185.50.5,14594,AE,Oracle Corporation
141.145.151.219,443,AE,Oracle Corporation
144.172.88.236,443,AE,
144.172.88.34,443,AE,
146.70.131.99,443,AE,M247 Europe  Dubai Infrastructure
146.70.37.253,443,AE,
147.78.0.186,2053,AE,
147.78.0.186,8443,AE,
147.78.0.36,443,AE,
152.32.181.246,44070,AE,UCLOUD INFORMATION TECHNOLOGY HK LIMITED
158.255.77.166,443,AE,Innovative Telecom Systems FZE
172.86.76.208,443,AE,
172.86.76.47,443,AE,
172.86.77.145,443,AE,
172.86.77.169,443,AE,
172.86.77.98,443,AE,
176.97.66.175,443,AE,3nt solutions LLP
176.97.67.38,443,AE,3nt solutions LLP
176.97.78.80,8443,AE,
176.97.78.80,2053,AE,IROKO Networks Corporation
176.97.78.80,443,AE,IROKO Networks Corporation
185.209.49.17,8443,AE,ITGLOBAL COM DMCC
188.208.110.30,443,AE,
188.208.110.35,2096,AE,
193.123.74.174,8443,AE,
193.123.81.105,443,AE,Oracle Corporation
193.123.90.82,12648,AE,Oracle Corporation
2.188.219.121,8443,AE,GCore Labs Customer assignment
20.157.74.92,443,AE,Microsoft Corporation
20.174.15.226,443,AE,Microsoft Corporation
217.195.200.138,443,AE,GCore Labs Customer assignment
217.195.200.153,443,AE,GCore Labs Customer assignment
217.195.200.52,443,AE,GCore Labs Customer assignment
3.29.240.49,443,AE,Amazon Data Services UAE
3.29.76.68,443,AE,Amazon Data Services UAE
31.130.149.210,443,AE,
38.180.11.201,443,AE,3NT SOLUTIONS LLP
40.120.108.47,2053,AE,Microsoft Corporation
40.120.108.47,2083,AE,Microsoft Corporation
40.120.108.47,443,AE,Microsoft Corporation
45.86.228.104,443,AE,BlueVPS OU
51.170.85.31,8443,AE,
84.235.245.18,34501,AE,Oracle Svenska AB
84.235.245.65,2096,AE,Oracle Svenska AB
84.235.245.75,8443,AE,
84.235.250.237,443,AE,
84.235.255.82,443,AE,
85.234.73.241,2087,AE,
85.237.211.194,2053,AE,
85.237.211.194,8443,AE,
85.237.211.59,2053,AE,Private Customer
85.237.211.59,8443,AE,Private Customer
89.36.162.130,443,AE,Melbikomas UAB
89.36.162.162,8443,AE,
90.156.220.194,2053,AE,
90.156.221.54,443,AE,ITGLOBAL COM DMCC
91.132.93.153,443,AE,
91.207.18.91,2053,AE,GCore Labs Customer assignment
91.207.18.91,8443,AE,GCore Labs Customer assignment
93.127.180.57,8443,AE,Private Customer
95.174.68.155,2083,AE,
95.174.68.179,8443,AE,
95.174.68.209,8443,AE,
103.167.234.120,443,AL,AlbHost SHPK
167.17.184.35,443,AL,
185.186.77.54,443,AL,
193.108.112.212,443,AL,
193.108.112.248,443,AL,
193.108.112.65,443,AL,
64.188.104.12,443,AL,Senko Digital Ltd
87.121.162.73,443,AL,
89.125.139.115,443,AL,
91.239.6.40,443,AL,
91.239.6.44,443,AL,
91.239.6.47,443,AL,
91.239.6.51,8443,AL,
91.239.6.51,443,AL,
93.123.113.47,443,AL,
139.45.214.122,443,AM,RETN AM Limited Liability Company
139.45.214.126,443,AM,RETN AM Limited Liability Company
178.160.195.187,443,AM,Telecom Armenia OJSC
185.234.57.153,443,AM,WorkTitans BV
193.58.120.119,443,AM,InterLIRMarketplace
193.58.120.148,8443,AM,Baxet Group Inc
194.156.103.103,2053,AM,GLOBAL CONNECTIVITY SOLUTIONS LLP
